"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"DRP-16","DRP_02","Deploy API to a public live backend (AWS App Runner + RDS) with CD","Move the `@bethere/api` server off localhost onto a public, HTTPS backend the mobile app can connect to, so we satisfy the M2 rubric's ""public deployment + functioning CD"" software criterion.

**Target architecture (AWS, us-east-1):**

* API → **AWS App Runner** (free HTTPS on `*.awsapprunner.com`, autoscaling), container image from **ECR**.
* DB → **RDS Postgres 16** (`db.t4g.micro`), **private**, reached via an App Runner **VPC connector**.
* CD → GitHub Actions on push to `main`: build/push image to ECR → trigger App Runner deploy. Uses a **scoped IAM user** (never root keys).

**Phase 1 — code (commit to** `dev`**):**

* `db/client.ts`: enable SSL for non-local connections (RDS forces SSL).
* `index.ts`: run Drizzle migrations on boot; change `reseedDemo` → seed-only-if-empty (App Runner redeploys must not wipe data).
* `apps/api/package.json`: add `start` script; pin Node 20.
* `mobile/src/lib/trpc.ts`: read `EXPO_PUBLIC_API_URL` (fallback localhost).
* New `apps/api/Dockerfile` + `.dockerignore`.
* Verify: typecheck, image builds, runs against local Postgres, `/trpc/health` 200, no drizzle schema/migration drift.

**Phase 2 — provision (captured in** `infra/`**):** ECR · RDS · VPC connector + SG rules · IAM ECR-access role · App Runner service.

**Phase 3 — connect + CD:** point mobile at live URL & verify; scoped IAM user → GitHub secrets → deploy workflow.

Account: 208569836255 · region us-east-1.","Done",,"High",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 14:30:37 GMT+0000 (GMT+00:00)","Thu May 28 2026 16:42:04 GMT+0000 (GMT+00:00)","Thu May 28 2026 14:30:37 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 15:23:58 GMT+0000 (GMT+00:00)",,,,,"",,,,"5698e038-ef4d-4f22-8234-518b7699684b",25675,"DRP-20",,
"DRP-17","DRP_02","Align mobile screens to M2 hand-drawn mockups (first pass)","First-pass mockup alignment (Home avatars, moment labels, Reveal who's-going, Suggest copy) plus the M2 mockups and em-dash cleanup. Done and merged into `dev` (commits 9b4e247, 4b90f8a; merge 37d5bf9).

Note: superseded in scope by the concrete-event pivot (see the pivot epic). The group decided to archive the loose-availability model and rebuild around `docs/mockups/m2/ALL_MOCKUPS.pdf`.","Done",,"Medium",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 15:11:27 GMT+0000 (GMT+00:00)","Thu May 28 2026 16:14:29 GMT+0000 (GMT+00:00)","Thu May 28 2026 15:11:27 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 16:14:28 GMT+0000 (GMT+00:00)",,,,,"",,,,"71422764-f932-4998-8abc-6950917d2362",25625,,,
"DRP-18","DRP_02","remove all em dashes",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 15:15:23 GMT+0000 (GMT+00:00)","Thu May 28 2026 15:38:15 GMT+0000 (GMT+00:00)","Thu May 28 2026 15:15:26 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 15:38:15 GMT+0000 (GMT+00:00)",,,,,"",,,,"83c88d50-536b-4516-b771-751a2bf6d88b",25661,,,
"DRP-19","DRP_02","CD APK needs Metro — build release (standalone) not debug","The Android CD (`.github/workflows/cd.yml`) ran `./gradlew assembleDebug -PbundleInDebug=true`. There is no committed `android/` (it's generated by `expo prebuild` in CI), and that gradle property isn't read by Expo's generated build files, so it's a no-op. Result: a **debug APK with no embedded JS bundle**, which tries to load from Metro (`localhost:8081`) at runtime → on-device error ""unable to load script…"".

**Fix:** build a **release** APK. Verified locally (prebuild + inspect): the Expo SDK 56 / RN 0.85 template's `release` buildType uses `signingConfig signingConfigs.debug`, so `assembleRelease` produces an installable, debug-signed `app-release.apk`; Hermes is enabled so JS is embedded as bytecode. `EXPO_PUBLIC_API_URL` is still inlined during the release bundle step.

Change `cd.yml`: `assembleRelease`; artifact name `app-release`; path `apps/mobile/android/app/build/outputs/apk/release/app-release.apk`.","Done",,"High",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 15:40:52 GMT+0000 (GMT+00:00)","Thu May 28 2026 15:51:13 GMT+0000 (GMT+00:00)","Thu May 28 2026 15:40:53 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 15:51:13 GMT+0000 (GMT+00:00)",,,,,"",,,,"19476f86-7866-4fb6-9685-e546b6a3661c",25648,,,
"DRP-20","DRP_02","Pivot BeThere to a concrete-event RSVP app (M2)","Group consensus: archive the loose-availability model and rebuild around the hand-drawn mockups in `docs/mockups/m2/ALL_MOCKUPS.pdf`. Plan: `docs/superpowers/plans/2026-05-28-concrete-events-pivot.md`. Working on `dev`.

## Locked decisions

* Concrete events: creator sets date/time/place; members RSVP. Loose model archived for next iteration.
* Two-tab nav: Meetups (dashboard by status then date) + Groups (full CRUD).
* Conditional response stays people-only (pick people + at-least-one/all).
* At the deadline: resolve conditionals; event always happens (no quorum/cancel).
* ""Who's going"" shows only those going.
* Create form text-only (title, description, date, time, free-text location); generated avatars.
* Nav via @react-navigation.

## Slices

- [ ] Shared + DB: events + responses(eventId) tables, CreateEventInput; keep resolve.ts
- [ ] API: events.\* + groups CRUD + users.addable + seed
- [ ] Mobile nav shell: react-navigation bottom tabs + stacks
- [ ] Meetups dashboard + EventDetail (respond + conditional + who's-going)
- [ ] CreateEvent + Groups tab (list, GroupDetail CRUD, CreateGroup)
- [ ] Archive loose code into archive/loose-availability/; lint/typecheck/test green","Done",,"Urgent",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 16:14:36 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 11:53:58 GMT+0000 (GMT+00:00)","Thu May 28 2026 16:14:36 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 11:53:58 GMT+0000 (GMT+00:00)",,,,,"",,,,"a30713d4-b819-4856-abe2-c9955d61b859",14365,"DRP-16",,
"DRP-21","DRP_02","Custom backend logger (Pino + pino-pretty)","Give `apps/api` a single owned logger that prints clear messages for everything at runtime: server boot, HTTP requests, every tRPC procedure call, and (on demand) DB queries. Pretty/colorized in dev via pino-pretty; JSON in prod (gated on NODE_ENV).

Backend only (mobile/shared untouched). Spec: `docs/superpowers/specs/2026-05-28-backend-logger-design.md`.

Scope:

* New `apps/api/src/logger.ts`: singleton Pino, LOG_LEVEL (default info), pretty transport when NODE_ENV !== production, scope binding (boot/http/trpc/db).
* `index.ts`: `Fastify({ loggerInstance, disableRequestLogging: true })`; scoped boot logs; onResponse HTTP line.
* `trpc.ts`: put `req.log` in context; logging middleware on the base procedure (path/type/userId/ms/outcome).
* `db/client.ts`: Drizzle Logger emitting SQL at debug level.
* Deps: add `pino` (dep) + `pino-pretty` (devDep).

Verify: `pnpm dev:api` output, `LOG_LEVEL=debug` for DB lines, NODE_ENV=production JSON, `pnpm lint` + `pnpm typecheck`.","Done",,"No priority",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 17:25:53 GMT+0000 (GMT+00:00)","Thu May 28 2026 17:43:58 GMT+0000 (GMT+00:00)","Thu May 28 2026 17:25:53 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 17:36:47 GMT+0000 (GMT+00:00)",,,,,"",,,,"464fc6a2-e8d1-4a00-8594-31f33fa3d91e",25542,,,
"DRP-22","DRP_02","Live API stuck on old schema: migrate-on-boot fails (type exists) → App Runner rollback","**Symptom:** Android APK shows ""Couldn't reach the server."" Network/APK are fine (URL baked in, INTERNET perm present, HTTPS cert valid). Root cause is server-side.

**Root cause (confirmed via App Runner application logs):** the concrete-event pivot reset the Drizzle migration baseline (new `0000_greedy_killmonger.sql`), but the live RDS still holds the OLD (suggestion/availability/moment) schema. On boot the new image runs migrate-on-boot → `CREATE TYPE ""response_kind""` → `error: type ""response_kind"" already exists` (code 42710) → process crashes → health check fails → **App Runner rolls back to the old image**. So the live API keeps serving the old model: `events.mine`→404 (app calls this), while `availability.mine`/`moments.mine`→200. Every screen's blanket `.catch(()=>setError(true))` surfaces this as ""Couldn't reach the server.""

This is the ""reset the migration baseline → must reset the DB too"" gotcha from CLAUDE.md.

**Fix:** reset the live RDS schema (throwaway demo data only — no real user data) so the new baseline applies cleanly, then migrate-on-boot + `seedDemoIfEmpty` repopulate. Then redeploy the current concrete-event image and verify `events.mine`→200.

**Follow-up:** make migrate-on-boot resilient to a fresh-baseline-vs-existing-DB drift (or document a reset runbook) so this doesn't recur on the next baseline reset.","Done",,"Urgent",,,"gonglx8@gmail.com","gonglx8@gmail.com","",,,,,"Thu May 28 2026 17:39:32 GMT+0000 (GMT+00:00)","Thu May 28 2026 18:12:18 GMT+0000 (GMT+00:00)","Thu May 28 2026 17:39:32 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 17:46:38 GMT+0000 (GMT+00:00)",,,,,"",,,,"38c7cef0-eee2-45a0-aeff-1aab7acab9a0",25533,,,
"DRP-23","DRP_02","Optimise CI/CD pipeline (Gradle + Docker caching, paths filter, concurrency)","Four targeted optimisations to the GitHub Actions pipeline:

1. **Gradle caching** in the Android APK build (`cd.yml`) via `gradle/actions/setup-gradle` - the slowest job currently rebuilds Gradle state from cold every run.
2. **Docker build cache** for the API image (`deploy-api.yml`) via `docker/build-push-action` with `type=gha` layer cache, plus a BuildKit pnpm-store cache mount in the API `Dockerfile`.
3. `paths:` **filter +** `workflow_dispatch` on the APK build so an API-only push to `main` no longer triggers a full Android build, and APKs can still be cut manually.
4. `concurrency` **groups** on all three workflows so superseded runs are cancelled (CI + APK) / queued safely (deploy).

Branch: dev.

---

**Done** in commit `57873c9` on `dev` (""perf(ci): cache Gradle + Docker layers, scope APK build, add concurrency""). YAML validated; cache benefit observable on the second-and-later real runs. Will land in prod on the next `dev` -> `main` merge.","Done",,"Medium",,,"gonglx8@gmail.com",,"",,,,,"Thu May 28 2026 18:00:32 GMT+0000 (GMT+00:00)","Thu May 28 2026 18:07:48 GMT+0000 (GMT+00:00)","Thu May 28 2026 18:00:32 GMT+0000 (GMT+00:00)",,"Thu May 28 2026 18:02:51 GMT+0000 (GMT+00:00)",,,,,"",,,,"3deaeabc-9c08-487a-a696-0ed550a658e4",25516,,,
"DRP-24","DRP_02","Clerk auth (Google OAuth) + Vercel-hosted web target","Add Clerk (Google OAuth) authentication and a Vercel-hostable web build to BeThere from one Expo codebase.

**Approach**

* One Expo app renders the same screens on native + web (react-native-web). No `apps/web`, no duplicated screens.
* Clerk Google sign-in on both targets via `@clerk/clerk-expo`.
* API verifies Clerk session tokens networklessly (`@clerk/backend`), resolving a nullable `userId`; `protectedProcedure` enforces auth while `/trpc/health` stays public (App Runner health check).
* `DEV_AUTH_BYPASS` falls back to the `x-user-id` stub; the sideloaded CD APK ships a flag-gated ""Continue as test user"" button that signs in as seed user `u_dev`.

**Docs**

* Spec: `docs/superpowers/specs/2026-06-01-clerk-auth-and-web-target-design.md`
* Plan: `docs/superpowers/plans/2026-06-01-clerk-auth-and-web-target.md`

**Tasks**: B1-B6 (backend auth), C1-C7 (client + web), D1-D2 (CD + manual ops), V1 (verification). Working on `dev`.","Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Mon Jun 01 2026 13:12:18 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 15:24:47 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 13:12:18 GMT+0000 (GMT+00:00)",,"Mon Jun 01 2026 15:24:47 GMT+0000 (GMT+00:00)",,,,,"",,,,"18fbf4b2-5128-4a8f-8e0a-b81f7017f208",19914,,,
"DRP-25","DRP_02","UX overhaul: refined-neobrutalist visual system (Peach to Lavender)","Restyle the whole mobile app from the current flat ""Sage"" identity to a **refined neobrutalist** visual system, chosen through a brainstorming session.

**Look:** peach-to-lavender gradient background, white boxy cards with 2px black outlines and hard offset shadows, heavy Archivo display headings, monospace (Space Mono) date chips, tilted pink ""sticker"" tags, restrained two-accent palette (pink = brand/urgent, green = going).

This is a **restyle, not a rebuild.** No product behaviour, tRPC contracts, navigation graph, or privacy model changes. New tokens go in `apps/mobile/src/theme.ts`.

**Design spec:** `docs/superpowers/specs/2026-06-01-ux-overhaul-visual-system-design.md`
**Mockup (open in browser):** `docs/mockups/m3-ux-overhaul/all-screens.html`

**Key tokens**

* Gradient `#FCEFE8` to `#ECEAFF`; surface `#FFFFFF`; ink `#111`; muted `#7D7A86`
* Pink (brand/urgent) `#FF5CA8`; green (going) `#34A853`
* Fonts: Archivo (display), Inter (UI), Space Mono (chips)
* Cards 18px radius, 2px borders, hard shadow `4px 4px 0 #111`

**Scope (per screen)**

- [ ] Theme: tokens (colour, type, radius, border, shadow) + load Archivo/Inter/Space Mono fonts + add `expo-linear-gradient`
- [ ] Reusable primitives: ScreenBackground (gradient), HardShadow wrapper, Card, Button (pink/green/outline), Chip, Field, Tabs, DateChip, StickerTag, StatusCheck, Avatar, BottomSheet, BackBar
- [ ] Home (featured meet + status tabs + checklist)
- [ ] Event detail (RSVP: in / I'll go if... / can't)
- [ ] ""I'll go if..."" bottom sheet (toggle + member picker)
- [ ] Suggest a meet (create event form)
- [ ] Your groups (list)
- [ ] Group detail (members + add)
- [ ] New group

**Open questions**

* Navigation: keep restyled bottom tabs (recommended) vs top switch
* Keep two accents (pink + green) vs single pink
* Confirm home redesign (featured + tabs + checklist) replaces status-sectioned dashboard

**Acceptance**

* All seven screens restyled to the spec; tokens centralised in `theme.ts` (no scattered literals)
* `pnpm lint`, `pnpm typecheck`, `pnpm test` green; no em dashes; data flow + privacy intact","Done",,"Medium",,,"gonglx8@gmail.com",,"HCD, Improvement",,,,,"Mon Jun 01 2026 14:33:20 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 11:53:56 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 15:54:08 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 11:53:56 GMT+0000 (GMT+00:00)",,,,,"",,,,"9b67d143-35ac-489e-8375-0cb2fd6db693",14365,"DRP-27",,
"DRP-26","DRP_02","prepare interview qs and iterate",,"Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Mon Jun 01 2026 16:14:05 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 11:54:16 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 16:14:05 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 11:54:16 GMT+0000 (GMT+00:00)",,,,,"",,,,"84901b50-3a0d-4944-b7bb-88f1245e382e",14365,,,
"DRP-27","DRP_02","UX: prominent Suggest-a-meetup CTA, drop stat overlines, gate meetups on group membership","Follow-up UX tweaks after the [DRP-25](https://linear.app/drp-02/issue/DRP-25/ux-overhaul-refined-neobrutalist-visual-system-peach-to-lavender) overhaul:

1. Dashboard: bring back a large, prominent ""Suggest a meetup"" button at the bottom (themed to the neobrutalist system). The current inline dashed ""Suggest a meet..."" row is not obvious enough.
2. Remove the stat overlines (""N this week"" on Dashboard, ""N groups"" on Groups) - they add no value.
3. When the user is in no groups, do not let them start a meetup. Instead prompt them to create or join a group first.","Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Mon Jun 01 2026 17:47:24 GMT+0000 (GMT+00:00)","Fri Jun 05 2026 11:54:13 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 17:47:24 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 11:54:13 GMT+0000 (GMT+00:00)",,,,,"",,,,"03ea5957-2a44-4cb4-abca-f6ed0ebb6a65",14365,"DRP-25",,
"DRP-28","DRP_02","Local dev: Clerk sign-in 401s every request because API has no CLERK_JWT_KEY","## Symptom

Signed in via Google (Clerk) on the local app, every tRPC call returns 401 UNAUTHORIZED (`user=anon`), the dashboard shows ""Couldn't reach the server"", and the new gating falls back to ""Create a group"". API logs: `[auth] bearer token present but did not verify` repeatedly.

## Root cause

The mobile app sends a real Clerk JWT (`Authorization: Bearer ...`). The local `apps/api/.env` has no `CLERK_JWT_KEY`, so `verifyClerkToken` throws and `resolveAuth` degrades to unauthenticated. `DEV_AUTH_BYPASS=1` did not help because `resolveAuth` only fell back to the `x-user-id` stub when NO bearer token was present - and the Clerk client always attaches one.

## Fix

Added a `clerkConfigured` input to `resolveAuth` (set from `!!process.env.CLERK_JWT_KEY`). When Clerk verification is not even possible (key unset, i.e. local dev) and `DEV_AUTH_BYPASS` is on, an attached but unverifiable bearer token is ignored and the request falls back to the `u_dev` seed user instead of 401ing. Prod is unaffected: App Runner sets `CLERK_JWT_KEY`, so real tokens still verify and bad ones still 401.

Verified: 8/8 auth unit tests pass; live curl with a fake bearer token now returns 200 with u_dev's seed groups.","Done",,"No priority",,,"gonglx8@gmail.com",,"",,,,,"Mon Jun 01 2026 18:23:46 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 18:23:46 GMT+0000 (GMT+00:00)",,,"Mon Jun 01 2026 18:23:46 GMT+0000 (GMT+00:00)",,,,,"",,,,"fa22d07b-88b4-4011-8d5b-bdef64f4ebc4",19735,,,
"DRP-29","DRP_02","M3: Convergence model revamp (react-to-options -> blind timed moment)","Experimental M3 iteration on branch `feat/m3-convergence-model`. Unifies the M2 concrete-event model with the archived loose-availability ideas into ONE plan whose `when` is expressed with variable precision; the precision silently routes behaviour (no user-facing ""type"").

Design discussion + approved plan: `docs/superpowers/specs/` + `/Users/gong/.claude/plans/ultrathink-we-want-to-rippling-prism.md`.

Core flow:

* CREATE: what + who + WHEN (one exact time | a few specific times | timescale + day-part band).
* REACT: people tap which candidate times work (cheap feasibility, no availability grid).
* LOCK: creator sees tally, taps ""lock it"" on the winning slot.
* MOMENT: blind + timed commitment (in / in-if-\[people\] / can't; no ""maybe""; blind until resolved). Reuses resolveIn + revealGoing.
* OUTCOME: cleared -> reveal who's in; under-quorum & contingent (fuzzy/options) -> silent fizzle. Exact/committed plans always happen.

Decisions locked:

* Pool size IS the type (1 / few / coarse-window), invisible to user; backend branches.
* Convergence = react-to-candidates, NOT availability grid.
* Moment trigger = creator-fired after seeing tally (auto-fire deferred).
* Real-time = \~5s polling + local notification taste; real remote push = tech debt (needs dev build + device + Apple acct; impossible on iOS Simulator, removed from Expo Go SDK 53+).
* A/B test: M2 model stays on `main` (version A); this branch is version B; localhost is fine for sessions.

Goal: polished prototype of all three pools by Fri 5 Jun (M3), runnable alongside M2 for real-user A/B testing.","Done",,"High",,,"gonglx8@gmail.com",,"",,,,,"Mon Jun 01 2026 18:36:33 GMT+0000 (GMT+00:00)","Mon Jun 08 2026 15:56:37 GMT+0000 (GMT+00:00)","Mon Jun 01 2026 18:36:33 GMT+0000 (GMT+00:00)",,"Fri Jun 05 2026 11:54:04 GMT+0000 (GMT+00:00)",,,,,"",,,,"8d9beec4-2c9b-45c2-b120-23992681ba2a",14365,"DRP-41, DRP-51",,
